Company Code,Company Name,Sector
5233,TAIHEIYO CEMENT CORP.,Glass & Ceramics
5301,"TOKAI CARBON CO., LTD.",Glass & Ceramics
5332,TOTO LTD.,Glass & Ceramics
5333,"NGK INSULATORS, LTD.",Glass & Ceramics
5401,NIPPON STEEL CORP.,Steel
5406,"KOBE STEEL, LTD.",Steel
5411,"JFE HOLDINGS, INC.",Steel
3436,SUMCO CORP.,Nonferrous Metals
5706,MITSUI MINING & SMELTING CO.,Nonferrous Metals
5711,MITSUBISHI MATERIALS CORP.,Nonferrous Metals
5713,"SUMITOMO METAL MINING CO., LTD.",Nonferrous Metals
5714,"DOWA HOLDINGS CO., LTD.",Nonferrous Metals
5801,"FURUKAWA ELECTRIC CO., LTD.",Nonferrous Metals
5802,"SUMITOMO ELECTRIC IND., LTD.",Nonferrous Metals
5803,FUJIKURA LTD.,Nonferrous Metals
2768,SOJITZ CORP.,Trading Companies
8001,ITOCHU CORP.,Trading Companies
8002,MARUBENI CORP.,Trading Companies
8015,TOYOTA TSUSHO CORP.,Trading Companies
8031,"MITSUI & CO., LTD.",Trading Companies
8053,SUMITOMO CORP.,Trading Companies
8058,MITSUBISHI CORP.,Trading Companies
1721,COMSYS HOLDINGS CORP.,Construction
1801,TAISEI CORP.,Construction
1802,OBAYASHI CORP.,Construction
1803,SHIMIZU CORP.,Construction
1808,HASEKO CORP.,Construction
1812,KAJIMA CORP.,Construction
1925,"DAIWA HOUSE IND. CO., LTD.",Construction
1928,"SEKISUI HOUSE, LTD.",Construction
1963,JGC HOLDINGS CORP.,Construction
5631,"THE JAPAN STEEL WORKS, LTD.",Machinery
6103,OKUMA CORP.,Machinery
6113,"AMADA CO., LTD.",Machinery
6273,SMC CORP.,Machinery
6301,KOMATSU LTD.,Machinery
6302,"SUMITOMO HEAVY IND., LTD.",Machinery
6305,"HITACHI CONST. MACH. CO., LTD.",Machinery
6326,KUBOTA CORP.,Machinery
6361,EBARA CORP.,Machinery
6367,"DAIKIN INDUSTRIES, LTD.",Machinery
6471,NSK LTD.,Machinery
6472,NTN CORP.,Machinery
6473,JTEKT CORP.,Machinery
7004,KANADEVIA CORP.,Machinery
7011,"MITSUBISHI HEAVY IND., LTD.",Machinery
7013,IHI CORP.,Machinery
7012,"KAWASAKI HEAVY IND., LTD.",Shipbuilding
7832,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing
7911,TOPPAN HOLDINGS INC.,Other Manufacturing
7912,"DAI NIPPON PRINTING CO., LTD.",Other Manufacturing
7951,YAMAHA CORP.,Other Manufacturing
3289,TOKYU FUDOSAN HOLDINGS CORP.,Real Estate
8801,"MITSUI FUDOSAN CO., LTD.",Real Estate
8802,"MITSUBISHI ESTATE CO., LTD.",Real Estate
8804,"TOKYO TATEMONO CO., LTD.",Real Estate
8830,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",Real Estate
9001,"TOBU RAILWAY CO., LTD.",Railway & Bus
9005,TOKYU CORP.,Railway & Bus
9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9008,KEIO CORP.,Railway & Bus
9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",Railway & Bus
9020,EAST JAPAN RAILWAY CO.,Railway & Bus
9021,WEST JAPAN RAILWAY CO.,Railway & Bus
9022,"CENTRAL JAPAN RAILWAY CO., LTD.",Railway & Bus
9064,"YAMATO HOLDINGS CO., LTD.",Land Transport
9147,"NIPPON EXPRESS HOLDINGS, INC.",Land Transport
9101,NIPPON YUSEN K.K.,Marine Transport
9104,"MITSUI O.S.K.LINES, LTD.",Marine Transport
9107,"KAWASAKI KISEN KAISHA, LTD.",Marine Transport
9201,"JAPAN AIRLINES CO., LTD.",Air Transport
9202,ANA HOLDINGS INC.,Air Transport
9301,MITSUBISHI LOGISTICS CORP.,Warehousing
9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",Electric Power
9502,"CHUBU ELECTRIC POWER CO., INC.",Electric Power
9503,"THE KANSAI ELECTRIC POWER CO., INC.",Electric Power
9531,"TOKYO GAS CO., LTD.",Gas
9532,"OSAKA GAS CO., LTD.",Gas
